Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Liverpool,3,4,2,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arsenal,2,3,4,2,4,3,3,3,3,5,4,4,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Manchester City,4,1,1,1,1,2,2,2,1,2,2,2,5,4,4,5,7,7,6,6,6,5,4,5,4,4,4,5,5,5,6,5,5,4,3,4,3,3
Chelsea,17,8,11,8,5,4,4,6,5,4,3,3,3,2,2,2,2,3,4,4,5,4,6,4,6,7,5,4,4,4,4,6,6,5,5,5,5,4
Newcastle,8,6,5,3,6,7,7,9,12,11,8,10,11,12,12,12,8,5,5,5,4,6,5,6,7,5,6,6,6,6,5,3,3,3,4,3,4,5
Aston Villa,5,12,7,5,3,5,5,4,4,6,9,8,12,8,6,7,6,9,9,8,7,8,8,8,9,8,10,8,9,7,7,7,7,7,7,6,6,6
Nott'ham Forest,11,7,9,7,8,10,10,8,7,3,5,7,6,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,6,7,7,7
Brighton,1,2,3,6,7,9,6,5,6,8,6,5,4,5,7,9,10,10,10,10,9,9,9,10,10,9,8,7,7,8,9,10,10,9,10,9,8,8
Bournemouth,9,14,8,11,13,11,13,11,11,10,12,13,13,9,8,6,5,6,7,7,8,7,7,7,5,6,7,9,10,10,10,8,8,10,8,10,11,9
Brentford,6,13,6,9,12,12,11,13,9,12,11,11,8,11,9,11,12,11,12,11,11,11,11,11,11,11,11,12,11,11,12,11,11,11,9,8,9,10
Fulham,15,10,12,12,9,6,8,10,10,9,7,9,10,6,10,8,9,8,8,9,10,10,10,9,8,10,9,10,8,9,8,9,9,8,11,11,10,11
Crystal Palace,13,17,16,16,16,18,18,18,17,17,18,19,17,17,17,15,16,16,15,15,15,12,13,12,13,13,12,11,12,12,11,12,12,12,12,12,12,12
Everton,20,20,20,20,19,16,16,16,16,16,16,15,15,15,15,16,15,15,16,16,16,16,16,15,14,14,16,15,15,15,15,13,13,15,14,13,13,13
West Ham,14,9,13,14,14,14,12,15,13,14,14,14,14,14,14,14,14,13,13,14,13,14,14,16,16,16,15,16,16,16,16,17,17,17,17,15,15,14
Manchester Utd,7,11,14,10,11,13,14,12,14,13,13,12,9,13,13,13,13,14,14,13,12,13,12,13,15,15,14,14,13,13,13,14,14,14,15,16,16,15
Wolves,19,19,18,18,20,20,20,20,19,20,19,17,18,19,19,19,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,16,15,13,13,14,14,16
Tottenham,12,5,10,13,10,8,9,7,8,7,10,6,7,10,11,10,11,12,11,12,14,15,15,14,12,12,13,13,14,14,14,15,16,16,16,17,17,17
Leicester City,10,15,15,15,15,17,15,14,15,15,15,16,16,16,16,17,17,18,19,19,19,19,17,18,19,19,19,19,19,19,19,19,19,19,19,19,18,18
Ipswich Town,18,18,17,17,17,15,17,17,18,18,17,18,19,18,18,18,19,19,18,18,18,18,19,19,18,18,18,18,18,18,18,18,18,18,18,18,19,19
Southampton,16,16,19,19,18,19,19,19,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
